Size;put(K,V);get(K);getOrDefault(K,V);remove(K);remove(K,V);containsKey(K);containsValue(V);putIfAbsent(K,V);replace(K,V);replace(K,V,V);keySet();values();clear();equals(Object o);hashCode();toString()
1;152583;3750;4083;4958;92166;2416;88584;94958;113792;170041;10333;7583;1541;18791;11000;19333
10;38125;7958;7583;9334;34375;7541;39834;30834;26833;60792;708;375;750;16416;14708;45542
50;211666;35708;36125;34250;259542;27500;263791;117584;90667;163209;875;583;2541;44792;50958;162458
100;140750;57083;67000;64125;92792;46417;618000;57083;41958;60834;667;500;4375;67375;100250;317125
250;123083;54583;50208;102209;146125;47583;815500;115500;124375;154584;834;416;8167;59250;270917;551542
500;195625;58417;92209;131750;230875;73958;2524334;242584;191333;634000;2375;958;15833;112708;257375;412583
750;240458;89375;99041;97250;224292;85208;4058875;206250;175083;269208;1167;750;16917;156833;363625;353084
1000;274166;120958;116167;117125;249500;112084;2159125;260833;196250;313709;1375;666;32375;206875;486625;531625
2500;792917;532917;366500;304917;574875;278959;15125709;616083;425959;738542;2792;917;63625;471083;1227166;1112458
5000;1119417;488166;489916;641833;1268666;595334;58245833;1056250;850625;1373000;5542;3791;126708;780500;4089083;1746833
7500;1449875;636958;737334;849708;1364250;668542;156805625;1309875;1167250;1894250;2000;1125;249417;1173833;3195250;2030375
10000;2265583;911500;1114000;1077083;1961542;908333;205003125;1741625;1421542;2292041;2250;500;215584;1347208;3679042;2403834
25000;4379292;1905667;1930667;1872167;4344833;1850291;1182684083;4685833;4812084;7226834;4334;1625;643833;3590458;9608083;6210500
50000;8319500;4054125;4568792;5099709;10487917;4262458;4750077708;6885500;6777375;10169417;2875;542;466000;2759375;4326875;5621541
100000;7462708;2315958;3917834;2408334;6353125;2460834;17704307125;7916208;7884875;10985000;3584;2208;238459;3132875;2461750;7859542
