Size;put(K,V);get(K);getOrDefault(K,V);remove(K);remove(K,V);containsKey(K);containsValue(V);putIfAbsent(K,V);replace(K,V);replace(K,V,V);keySet();values();clear();equals(Object o);toString();entrySet();putAll(Map);compute(K,BiFunction);computeIfAbsent(K,Function);computeIfPresent(K,BiFunction);forEach(BiConsumer);merge(K,V,BiFunction);replaceAll(BiFunction);constructor;hashCode()
10000;29.940899;103.513787;78.602983;90.770769;43.246131;69.867862;10953.896806;49.723647;303713.631386;18274.396107;88.197887;70.054071;60168.842552;40.046411;118.094583;929206.523475;55243.187920;825093.950716;100.586014;112.513486;111.460153;108158.165523;103.671691;335466.928762;38.341573
20000;36.443072;272.918559;152.951292;214.313249;45.093159;136.788960;24342.668871;67.364599;676012.351462;36656.078396;104.467116;122.956998;126721.100470;60.590254;286.192392;1699906.298787;113267.934446;1659496.548407;132.092350;309.593983;350.643837;202265.226904;236.401624;718216.457591;47.211104
30000;52.016285;325.918018;257.059709;266.364776;56.491109;173.900639;37688.826835;80.742685;998623.768821;54839.913274;144.466033;155.053366;192231.132506;65.061247;348.062637;2778924.742496;167354.655800;2708170.367401;210.140897;385.917036;358.343189;354887.716877;287.888698;1108164.952229;56.651653
40000;58.602771;372.954789;317.259314;284.975748;65.781151;177.290819;49044.711455;68.060467;1363367.797238;76912.077691;141.019969;165.863525;264492.991950;60.913250;392.255690;3595375.827458;215544.670229;3461118.624643;259.863625;440.189993;316.746848;482348.925506;312.151775;1511931.701086;51.456398
50000;66.267143;430.305564;382.401331;349.476951;132.607730;182.247605;65655.741174;99.353304;1769680.849808;118556.269342;197.759689;194.468029;337979.946208;66.236704;618.765539;4993024.551109;397511.453474;4741542.210174;324.465797;443.209337;356.966507;574652.728778;335.496671;1886232.512727;78.025778
60000;84.042604;473.089468;288.066607;392.547189;100.476937;251.768077;77578.807119;83.161554;2054601.733901;128273.198514;212.684532;214.139763;415907.928249;76.833127;687.757789;5862143.331786;446345.162193;5786363.527083;327.546555;455.049055;584.229134;680841.917215;367.517303;2283289.668583;70.130435
70000;63.025120;525.639858;274.097010;509.843884;83.960197;201.299637;94313.146133;114.925831;2522125.003887;134966.205253;206.697985;175.754586;477542.357246;81.949918;1170.801713;6276439.597009;526295.048521;6234946.812651;314.566213;630.268146;577.799615;811123.897618;395.665682;2644824.260452;67.654795
80000;63.267445;580.187939;312.119845;505.235683;74.647303;313.820356;111283.137846;177.832872;2669548.713325;154854.925418;320.553349;208.101032;546315.311186;85.888030;688.048023;7413287.569920;625273.711594;7554431.082524;443.780451;680.342650;633.680864;917903.266605;427.145703;3080794.155477;70.720566
90000;65.392563;823.170699;438.781600;833.673574;118.494674;539.496016;123095.759426;136.598635;3084413.263115;175853.459359;277.314959;312.033632;621332.245556;116.476186;1510.625681;8693375.174826;649248.700036;8952211.288081;735.108384;809.763628;731.038618;1133076.735758;563.401758;3481156.642206;96.550050
100000;99.536759;1242.414041;593.623827;1184.499765;214.564706;674.291558;134276.924231;300.212245;3548697.008353;228388.559191;401.516527;394.921166;699194.325326;155.901875;2239.361049;9103852.600283;948953.122393;9128673.136111;1072.435730;1059.850474;1147.982302;1212766.333735;726.185534;3886490.376439;138.016788
