Size;put(K,V);get(K);getOrDefault(K,V);remove(K);remove(K,V);containsKey(K);containsValue(V);putIfAbsent(K,V);replace(K,V);replace(K,V,V);keySet();values();clear();equals(Object o);toString();entrySet();putAll(Map);compute(K,BiFunction);computeIfAbsent(K,Function);computeIfPresent(K,BiFunction);forEach(BiConsumer);merge(K,V,BiFunction);replaceAll(BiFunction)
10000;7335834;914000;559209;764792;1561625;542916;115915875;3224000;1733125;1891625;1508708;586125;2084;6083166;2768625;2591042;1045958;6638416;2454833;2780125;1124292;2947333;1970834
20000;3549792;1023042;1001375;1036542;2559500;1019708;410941250;3542917;1912875;3364459;1164000;878791;3167;4807083;2185459;1278958;1488708;2537916;2030416;2612667;777125;2735458;2295792
30000;5527750;1618375;1508375;1548458;3045625;1433750;934447083;5607458;2753333;4745917;519500;461292;1250;5498791;1543333;1959250;1959875;3655959;3215250;2390459;475041;4587750;516625
40000;5970791;1417292;1271417;1257625;3264584;1149584;1675590708;5733959;2823541;4665792;596875;436959;500;3969375;1755750;2189291;1778125;5420375;4784375;1791875;318208;3777375;652542
50000;7723750;1336458;1266667;1413000;3737083;1301042;2554176541;7093958;3844583;5949791;678584;517458;291;5692042;1522042;3289834;1377166;8496167;7039083;2438500;394375;6357583;721833
60000;9229792;1255208;1247791;1452875;2593417;1248208;3641775500;7667875;2448375;4198167;563083;263958;250;5145833;1449166;3360417;1238458;5886959;3390083;3454500;176125;6970000;624166
70000;7844750;1316083;1298375;1376084;2493125;1207208;4957685291;7953875;2601458;3726000;625291;240292;2375;5652917;1489250;3760125;1215916;4151167;2518542;2706250;136667;6700083;729041
80000;8926292;1474458;1499084;1733417;2891583;1438375;6616364458;9652833;4175000;4835583;660959;224583;291;5905000;1950916;4159083;1336250;8977792;3707125;3294166;184500;7389084;958750
90000;11134708;2050459;1817458;2259250;4625667;2016042;8300642500;11635709;4311125;5732791;740041;250209;667;10776667;2119291;4788500;1478792;8645750;5287125;4507209;181250;9355250;913667
100000;12584333;1936417;2228500;2228125;3947583;1905916;10858788208;12243417;5175834;6867167;1148250;290208;292;8490083;2111375;6278458;1675334;7648541;4964084;4769708;212000;8469792;941708
