Size;put(K,V);get(K);getOrDefault(K,V);remove(K);remove(K,V);containsKey(K);containsValue(V);putIfAbsent(K,V);replace(K,V);replace(K,V,V);keySet();values();clear();equals(Object o);toString();entrySet();putAll(Map);compute(K,BiFunction);computeIfAbsent(K,Function);computeIfPresent(K,BiFunction);forEach(BiConsumer);merge(K,V,BiFunction);replaceAll(BiFunction);constructor;hashCode()
10000;378367.4500856293;54.25670904370441;53.661877898585445;45.93357039477356;117.31571575227306;51.4208230723996;10108.811770316031;354224.1392739887;57.23390698576637;138.53521323044305;33.69178039772347;30.083598299006137;4169.402859848635;221705.0761145587;195259.51648990053;29.72440275657696;95761.60957389305;100.74740484463103;59.26691760878518;51.860182968921855;19258.63896040678;67.92906344405353;86027.2856761416;27.0171911213409;57982.16785777679
20000;765363.061751497;111.6349109132497;146.92278437732924;96.41061926707752;144.13671784498533;104.8166023894376;19683.83576068493;779568.9997838438;173.3177402404709;214.4373702496069;74.3667928119679;51.590878561384415;8526.073173095861;461526.2664876953;403828.3919381655;77.94934821273165;156999.75149239163;216.0820356221228;154.1071594819369;192.113254060274;37778.992372889545;239.06956016801144;188300.31302131107;39.84408796259222;115166.15009281716
30000;1083131.0700119142;146.96986893244926;183.84820464126847;141.23180700351202;203.734556713047;172.86486045376458;33004.82448301797;1123421.851468121;258.6166505893016;365.0105232227149;64.60456656437157;48.30206462556175;16300.19438981831;739327.0219954355;603361.3942977248;135.55157190511022;271102.24745771947;364.3966810283411;210.06828440713423;346.1659994321339;66962.68185321131;278.1847736809357;306587.78059107665;43.78243396596026;176757.75571065224
40000;1671330.505873154;156.59846480477933;183.93419751833528;269.27146806656083;236.741847568352;198.72902797352552;45107.51505228653;1558612.200892144;287.05418719044405;472.4553854802286;52.1003533686613;55.30450820060496;16935.79167850649;1025586.0090971316;816445.01729308;135.10916282809737;326064.35439922963;404.62819986833705;252.7647949527027;307.1259302123052;76001.5484055042;295.91760599984065;400530.80993061885;48.8602183938217;239714.4711502614
50000;2234172.2518629977;194.48211831603632;245.9626414465201;224.52105983078243;259.1481490345818;182.87404004211328;61660.66059730823;1955067.3991794344;351.3634310730048;568.4519873130326;67.93190843377464;54.30773989233232;35791.80906712596;1315329.5736835357;990767.3804021254;95.66508578107506;422800.13910764526;425.2476804432137;438.7835373810439;372.6975277843771;126927.0228466418;367.1811397225599;552924.7186063067;42.36523964565301;302532.1446848179
60000;2299297.968441678;207.3024914096008;416.2304298164659;350.4376871484885;296.7362629350607;220.10620438168024;69164.54876614209;2294355.759655061;421.83494054463085;944.2208707342568;105.7857425394415;65.39247678977533;36036.8197035536;1509671.601823905;1194776.5910911553;113.22153855284716;496965.94917430345;368.4354747807572;312.49664229056344;436.820346230076;135457.80158745457;518.8704403029843;631931.0994518382;54.92428419348938;366816.6711260053
70000;3560978.12060351;215.86130241735515;357.0181604183882;236.5155532855996;297.2993184517956;316.8792998229635;82605.03740429826;3105170.736517094;320.2259445234281;454.71323079048665;84.28790709309582;65.57267139379829;37105.480857494025;1785738.1646270966;1457984.0582055394;74.35699414082514;580013.9236061603;415.4197417724635;340.78365376518525;413.1708069481447;146960.98763349553;427.5657121231204;753718.0111897836;57.34098452828562;428052.3325957427
80000;3680909.00888405;237.0472257893071;414.7655508485077;246.88694295198587;305.8772267213074;362.5115582275592;89821.90850504831;3261768.146149569;307.8917068430244;514.8304767622407;131.75811309765223;66.07651135321008;35960.67196053081;1965315.773168241;1626779.8741880166;78.44707553613503;662062.9691071049;530.0402917412763;323.1405086555673;602.6880364464407;158889.48368113025;426.41865626733335;903635.0052141692;69.68995496973736;497708.35178352543
90000;3810299.628805044;266.1845891755615;506.21171030559697;286.96371797523125;391.233403671636;245.7828550704116;114146.34520972984;3624957.0113652553;374.9651488874998;520.5701589678793;119.06607156286393;70.17760332715774;36809.12923943612;2125759.566966971;1782707.8093056886;81.90809645967029;749292.4723843603;629.044592304713;336.33531807500066;641.2437172829392;172302.8981882162;486.70825112362775;1015148.667247927;62.99779052903065;551704.912282537
100000;4469979.826755823;334.85816507252304;462.5323410031261;336.23905402326886;472.28219722088113;414.60155229986265;119653.6757165456;3887747.637909999;444.51728783476864;825.7003789261229;84.31334151074576;86.6753808228264;74345.48894091838;2635381.670401422;1995255.927933178;59.22496011951429;1000071.5468771864;501.7658597134049;375.6602538198632;1050.430801632127;254473.51498595125;1410.7312798765608;1213617.239753374;91.75826082873328;615992.5973407722
