Size;put(K,V);get(K);getOrDefault(K,V);remove(K);remove(K,V);containsKey(K);containsValue(V);putIfAbsent(K,V);replace(K,V);replace(K,V,V);keySet();values();clear();equals(Object o);toString();entrySet();putAll(Map);compute(K,BiFunction);computeIfAbsent(K,Function);computeIfPresent(K,BiFunction);forEach(BiConsumer);merge(K,V,BiFunction);replaceAll(BiFunction)
10000;4567208;1326750;780375;1293917;1736708;613292;121303375;1775583;1322542;1907250;27084;9709;133917;1283458;4166167;3833;1871083;7807375;4550709;3027417;1146375;4476791;1520750
20000;3310167;1234125;1452541;4203041;3364333;1954334;438155584;2213375;1755958;3043875;2708;1542;242167;1591917;2905916;1291;1399542;1863709;2349250;1574084;880791;2615583;1423125
30000;3146583;1317000;1507916;1319416;3013584;1320916;993361375;3044125;2527958;4473417;1500;1417;390708;2437750;3900084;792;3190542;2400042;1927833;1761792;541375;3118416;435084
40000;3074334;1084375;1027750;1067541;2822083;1051833;1751877000;3069333;2744667;4398375;1583;1459;145291;1039500;2577875;792;2069875;4605666;4072583;1621792;322416;3862291;2164959
50000;3739375;1121166;1106958;1017834;3756542;1154625;2752007250;3515500;3408208;6889791;1667;1292;118000;1031792;2324833;791;1491375;7093959;7353375;2703208;514334;5236250;558750
60000;2883417;1106042;1051375;1049417;2617125;1147875;3312940917;2423416;2101291;5732125;2875;1208;107500;604292;1751791;292;920959;3272125;1717709;1797292;164875;3592542;590833
70000;3278042;1022292;990292;1069958;3420500;1027375;4515866583;2972958;1860042;3112916;1833;1208;33625;429334;1981458;292;1050167;3101541;2225208;1846000;143709;3392750;684583
80000;3177250;1134459;1133375;1276083;5913917;1234375;6359545625;3523958;4319042;5092083;4500;750;38958;476834;1991542;583;1206583;4988083;2993083;2677584;171958;4952166;780916
90000;5863042;1394042;1374000;1623125;4457041;1618541;7844506750;3740209;4141375;5898958;2125;1833;37833;524792;2075375;291;3093042;9121458;3568250;3684041;183417;6720959;799958
100000;3916708;1421833;1407209;1794958;3549583;1407000;9429886917;4401750;5053792;6305791;31875;458;79375;677292;2542833;792;1444500;5384791;2702000;2776542;278375;6030042;1283250
