Size,Put,Get,GetOrDefault,ContainsKey,ContainsValue,RemoveKey,RemoveKeyValue,Replace,ReplaceOldNew,PutIfAbsent,Clear
1,263,3130,16,942,1235,12,86,12,19,11,1
10,19,60,50,45,195,12,59,76,122,92,0
50,522,256,234,193,1369,714,207,162,407,307,0
100,548,287,286,195,1335,189,367,168,387,339,0
250,339,486,410,196,5131,423,414,174,362,275,0
500,646,274,268,277,15773,406,838,487,722,691,1
1000,1049,504,522,502,28777,506,704,751,1038,1322,1
2500,1857,1141,1181,1217,157215,1010,1039,784,1780,1630,1
5000,2723,1990,2008,693,692390,1292,847,552,1059,1050,0
10000,3964,1095,1125,1035,2536889,2218,886,908,1695,1432,0
25000,9972,2559,2509,2030,15864413,4882,2156,2194,3775,5491,15
50000,21026,5675,5625,4173,63526303,10222,5250,4428,8306,7400,4
